#Clone = Identifier of Drosophila Gene Collection (DGC) cDNA clone (DGC: http://www.fruitfly.org/DGC/index.html)	
#Fold_change (A/B) = Relative fold-amount of spiked-in clone in sample A compared to sample B	
Clone	Fold_change (A/B)
GH25855	0.25
GH25858	1
GH25868	1
GH25884	1
GH25957	1
GH25972	1
GH25973	1
GH25976	3.5
GH26007	1
GH26014	1
GH26015	0.25
GH26019	1
GH26048	0.25
GH26058	3.5
GH26069	0.25
GH26078	1
GH26080	1
GH26082	3.5
GH26083	1
GH26090	0.25
GH26094	1
GH26112	1
GH26134	3.5
GH26152	1
GH26159	0.25
GH26183	0.25
GH26184	0.25
GH26186	0.25
GH26207	1
GH26215	1
GH26230	1
GH26238	1
GH26248	1
GH26260	1
GH26265	1
GH26270	0.25
GH26280	1
GH26345	3.5
GH26351	1
GH26355	1
GH26358	0.25
GH26380	0.25
GH26392	1
GH26440	1
GH26442	1
GH26447	0.25
GH26458	0.25
GH26459	1
GH26463	1
GH26506	1
GH26507	1
GH26549	1
GH26553	0.25
GH26575	1
GH26608	3.5
GH26613	0.25
GH26622	0.25
GH26628	0.25
GH26634	0.25
GH26644	1
GH26663	0.25
GH26685	1
GH26692	1
GH26702	0.25
GH26723	1
GH26759	1
GH26763	1
GH26786	1
GH26789	1
GH26796	0.25
GH26816	1
GH26828	1
GH26851	1
GH26867	0.25
GH26896	3.5
GH26928	0.25
GH26991	1
GH26994	1
GH27027	1
GH27039	1
GH27042	0.25
GH27072	1
GH27092	1
GH27120	1
GH27148	0.25
GH27201	1
GH27208	0.25
GH27220	1
GH27226	1
GH27233	1
GH27234	1
GH27237	3.5
GH27263	0.25
GH27264	0.25
GH27269	0.25
GH27293	1
GH27315	1
GH27361	0.25
GH27380	0.25
GH27383	1
GH27401	1
GH27411	1
GH27419	1
GH27420	1
GH27425	1
GH27433	1
GH27479	1
GH27496	1
GH27547	1
GH27568	1
GH27640	1
GH27656	1
GH27691	1
GH27708	1
GH27718	1
GH27720	1
GH27752	1
GH27756	1
GH27759	1
GH27769	1
GH27779	1
GH27792	1
GH27795	1
GH27809	1
GH27858	1
GH27888	1
GH27892	1
GH27912	1
GH27933	1
GH27944	1
GH27953	1
GH27971	1
GH28004	3.5
GH28013	1
GH28016	1
GH28017	1
GH28038	1
GH28062	1
GH28095	1
GH28308	1
GH28327	1
GH28335	1
GH28342	1
GH28348	1
GH28353	1
GH28366	1
GH28416	3.5
GH28477	1
GH28507	1
GH28523	1
GH28534	1
GH28550	1
GH28553	1
GH28569	1
GH28577	1
GH28578	1
GH28601	1
GH28654	1
GH28656	1
GH28665	1
GH28686	1
GH28722	1
GH28728	1
GH28730	1
GH28769	1
GH28787	1
GH28796	1
GH28809	1
GH28826	1
GH28833	1
GH28840	1
GH28857	1
GH28859	1
GH28883	1
GM01008	0.833333333333333
GM01014	0.833333333333333
GM01028	0.833333333333333
GM01042	0.833333333333333
GM01045	2
GM01054	0.833333333333333
GM01069	0.4
GM01081	0.833333333333333
GM01152	2
GM01172	0.833333333333333
GM01181	2
GM01182	0.4
GM01206	0.4
GM01209	0.833333333333333
GM01211	2
GM01221	0.833333333333333
GM01240	0.833333333333333
GM01253	2
GM01267	2
GM01289	0.833333333333333
GM01305	0.833333333333333
GM01315	0.833333333333333
GM01318	0.833333333333333
GM01339	0.833333333333333
GM01350	0.833333333333333
GM01352	0.4
GM01353	2
GM01456	0.4
GM01501	2
GM01519	0.4
GM01527	2
GM01555	0.833333333333333
GM01561	2
GM01569	0.833333333333333
GM01572	0.833333333333333
GM01586	2
GM01605	0.833333333333333
GM01620	0.833333333333333
GM01628	0.833333333333333
GM01690	0.833333333333333
GM01721	2
GM01744	0.4
GM01751	0.833333333333333
GM01761	0.833333333333333
GM01778	2
GM01793	0.833333333333333
GM01846	2
GM01870	0.4
GM01879	0.4
GM01885	0.833333333333333
GM01918	0.4
GM01935	0.833333333333333
GM01939	0.833333333333333
GM01959	0.833333333333333
GM01964	0.833333333333333
GM01970	0.833333333333333
GM01975	0.4
GM01994	0.4
GM02002	0.833333333333333
GM02004	2
GM02019	0.833333333333333
GM02031	0.833333333333333
GM02062	0.833333333333333
GM02110	0.833333333333333
GM02143	0.833333333333333
GM02147	0.833333333333333
GM02173	0.833333333333333
GM02206	2
GM02209	0.833333333333333
GM02242	0.833333333333333
GM02245	0.833333333333333
GM02257	0.833333333333333
GM02293	0.833333333333333
GM02310	1.5
GM02327	1.5
GM02347	1.5
GM02445	1.5
GM02466	1.5
GM02481	1.5
GM02532	0.833333333333333
GM02553	1.5
GM02565	1.5
GM02567	1.5
GM02568	1.5
GM02602	1.5
GM02605	0.833333333333333
GM02612	1.5
GM02629	1.5
GM02640	0.833333333333333
GM02712	0.833333333333333
GM02713	0.833333333333333
GM02743	1.5
GM02829	0.833333333333333
GM02923	1.5
GM02932	1
GM02933	2
GM02967	1.5
GM02985	1.5
GM03003	1
GM03014	1.5
GM03043	1
GM03058	2
GM03068	1.5
GM03112	1
GM03132	1
GM03174	1.5
GM03203	1.5
GM03205	2
GM03260	1
GM03282	1
GM03296	1.5
GM03307	1.5
GM03419	1
GM03427	1
GM03430	1
GM03482	1
GM03548	1
GM03559	1.5
GM03574	1
GM03596	1.5
GM03616	1
GM03621	2
GM03661	1.5
GM03716	1.5
GM03761	1
GM03763	2
GM03767	1.5
GM03781	1
GM03782	1.5
GM03811	1.5
GM03859	2
GM03875	1
GM03914	1.5
GM03978	1
GM04010	1
GM04011	1.5
GM04029	1.5
GM04037	1.5
GM04053	1
GM04108	1
GM04114	1
GM04147	1
GM04207	1.5
GM04208	1
GM04226	1
GM04269	1.5
GM04312	1
GM04319	1.5
GM04363	1.5
GM04379	2
GM04393	1.5
GM04403	1
GM04427	1.5
GM04458	1.5
GM04535	1.5
GM04578	1
GM04589	1.5
GM04590	1.5
GM04626	1.5
GM04645	1
GM04658	1.5
GM04669	1
GM04690	3
GM04711	3
GM04716	3
GM04721	1.5
GM04727	3
GM04742	3
GM04767	1.5
GM04775	3
GM04789	1.5
GM04911	1.5
GM04921	1.5
GM04934	3
GM04951	1.5
GM04958	1.5
GM04983	1.5
GM04985	2
GM05003	1.5
GM05016	1.5
GM05057	1.5
GM05069	3
GM05133	3
GM05135	3
GM05221	3
GM05229	3
GM05237	3
GM05240	3
GM05288	3
GM05421	3
GM05459	2
GM05521	3
GM05554	1.5
GM05638	2
GM05640	3
GM05651	3
GM05661	3
GM05688	1.5
GM05702	1.5
GM05760	3
GM05777	1.5
GM05817	1.5
GM05844	3
GM05853	2
GM05855	1.5
GM05887	3
GM06015	1.5
GM06026	2
GM06073	3
GM06077	3
GM06086	3
GM06087	3
GM06171	1.5
GM06185	1.5
GM06219	3
GM06264	3
GM06266	3
GM06310	3
GM06363	1.5
GM06493	3
GM06505	3
GM06507	3
GM06533	3
GM06547	3
GM06568	3
GM06595	3
GM06601	3
GM06606	1.5
GM06687	3
GM06782	1.5
GM06790	3
GM06804	3
GM06806	3
GM06875	3
GM06913	3
GM06962	1.5
GM06978	3
GM06994	3
GM07030	3
GM07040	3
GM07065	3
GM07077	3
GM07509	3
GM07526	3
GM07552	3
GM07606	3
GM07634	1.5
GM07658	1.5
GM07660	1.5
GM07702	1.5
GM07741	3
GM07762	3
GM07803	3
GM07804	1.5
GM07807	3
GM07827	1.5
GM07843	3
GM07940	3
GM08026	3
GM08044	3
GM08053	3
GM08106	3
GM08142	3
GM08240	3
GM08242	3
GM08252	3
GM08271	1.5
GM08320	1.5
GM08325	3
GM08326	3
GM08338	3
GM08365	3
GM08377	3
GM08440	3
GM08528	3
GM08530	3
GM08552	3
GM08588	1.5
GM08606	3
GM08654	1.5
GM08665	1.5
GM08670	3
GM08676	3
GM08679	3
GM08688	3
GM08694	1.5
GM08734	3
GM08769	3
GM08777	3
GM08788	1.5
GM08802	3
GM08821	1.5
GM08848	1.5
GM08857	3
GM08907	3
GM08921	1.5
GM08958	1.5
GM09007	2
GM09012	3
GM09085	3
GM09101	1.5
GM09104	3
GM09162	3
GM09207	1.5
GM09210	3
GM09242	1.5
GM09255	3
GM09276	3
GM09283	1.5
GM09415	0.833333333333333
GM09416	1.5
GM09417	1.5
GM09444	1.5
GM09534	1.5
GM09570	0.833333333333333
GM09620	0.833333333333333
GM09636	1.5
GM09639	0.833333333333333
GM09668	1.5
GM09708	1.5
GM09783	1.5
GM09828	2
GM09909	0.833333333333333
GM09915	0.833333333333333
GM09977	0.833333333333333
GM10003	0.833333333333333
GM10015	0.833333333333333
GM10051	0.833333333333333
GM10074	0.833333333333333
GM10122	0.833333333333333
GM10183	0.833333333333333
GM10264	0.833333333333333
GM10268	0.833333333333333
GM10285	0.833333333333333
GM10308	0.833333333333333
GM10438	0.833333333333333
GM10489	0.833333333333333
GM10508	0.833333333333333
GM10545	0.833333333333333
GM10569	2
GM10731	0.833333333333333
GM10787	0.833333333333333
GM10839	0.833333333333333
GM10858	0.833333333333333
GM10877	0.833333333333333
GM10914	0.833333333333333
GM12126	3.5
GM12270	1.7
GM12291	1.7
GM12605	1
GM12762	1
GM12886	1
GM13032	1
GM13038	3.5
GM13041	1
GM13047	3.5
GM13088	1
GM13116	1
GM13171	3.5
GM13219	1
GM13220	1.7
GM13228	1
GM13256	1
GM13272	1
GM13293	1
GM13306	1
GM13370	1
GM13382	3.5
GM13395	1
GM13434	3.5
GM13517	1
GM13604	1
GM13608	1
GM13640	1.7
GM13664	1
GM13686	1
GM13744	1
GM13757	1
GM13766	1
GM13767	1
GM13868	1
GM13874	1
GM13889	3.5
GM13904	1
GM13912	1
GM13948	1
GM13959	1
GM14007	1
GM14009	1
GM14014	1
GM14040	1
GM14109	1
GM14134	1
GM14138	1
GM14141	1
GM14163	1
GM14169	1
GM14202	1
GM14215	1
GM14222	1
GM14286	1
GM14292	3.5
GM14307	1
GM14315	1
GM14316	1
GM14337	1
GM14348	1
GM14349	1
GM14354	1
GM14375	1
GM14421	1
GM14426	3.5
GM14467	1
GM14473	1
GM14481	1
GM14501	1
GM14514	1
GM14547	1
GM14553	1
GM14559	1
GM14561	1
GM14577	3.5
GM14585	3.5
GM14590	1
GM14611	1
GM14617	1
GM14618	1.7
GM14633	1
GM14666	1
GM14667	3.5
GM14682	1
GM14788	1
GM14814	1
GM14815	1
GM14833	1
GM14838	1.7
GM14877	1
HL01018	0.4
HL01040	1.5
HL01053	1.5
HL01062	2
HL01076	1.5
HL01082	1.5
HL01112	0.833333333333333
HL01138	0.4
HL01173	0.4
HL01216	1.5
HL01227	0.4
HL01241	0.4
HL01242	0.4
HL01248	0.4
HL01250	2
HL01254	0.4
HL01263	0.4
HL01284	1.5
HL01392	1.5
HL01428	0.4
HL01468	2
HL01481	1.5
HL01494	0.4
HL01508	0.4
HL01515	2
HL01517	0.4
HL01538	0.4
HL01545	1.5
HL01663	2
HL01677	0.4
HL01706	1
HL01728	0.4
HL01743	0.4
HL01868	0.833333333333333
HL01913	2
HL01958	0.833333333333333
HL01989	0.833333333333333
HL02010	0.833333333333333
HL02012	2
HL02043	0.833333333333333
HL02049	2
HL02087	0.833333333333333
HL02088	0.833333333333333
HL02140	0.833333333333333
HL02234	0.833333333333333
HL02309	0.833333333333333
HL02328	0.833333333333333
HL02418	0.833333333333333
HL02449	0.833333333333333
HL02501	0.833333333333333
HL02677	0.833333333333333
HL02687	0.833333333333333
HL02756	0.833333333333333
HL02811	0.833333333333333
HL02815	0.833333333333333
HL02867	2
HL02883	0.833333333333333
HL02931	0.833333333333333
HL02936	0.833333333333333
HL03025	0.833333333333333
HL03036	0.833333333333333
HL03084	0.833333333333333
HL03177	2
HL03368	0.833333333333333
HL03404	0.833333333333333
HL03430	0.833333333333333
HL03512	0.833333333333333
HL03538	0.833333333333333
HL03650	0.833333333333333
HL03687	0.833333333333333
HL03793	0.833333333333333
HL03834	0.833333333333333
HL03862	0.833333333333333
HL04242	2
HL04250	0.833333333333333
HL04319	2
HL04344	0.833333333333333
HL04357	0.833333333333333
HL04389	0.833333333333333
HL04393	0.833333333333333
HL04706	0.833333333333333
HL04722	0.833333333333333
HL04910	0.833333333333333
HL04994	0.833333333333333
HL05328	0.833333333333333
HL05382	0.833333333333333
HL05577	0.833333333333333
HL05638	0.833333333333333
HL05730	0.833333333333333
HL05735	0.833333333333333
HL05736	0.833333333333333
HL05773	0.833333333333333
HL05775	0.833333333333333
HL05804	0.833333333333333
HL05815	2
HL05860	0.833333333333333
HL05903	2
HL06052	2
HL06604	0.833333333333333
HL06663	0.833333333333333
HL07357	0.833333333333333
HL07462	0.833333333333333
HL07758	0.833333333333333
HL07789	0.833333333333333
HL07802	1
HL07889	1
HL07915	3.5
HL07928	1
HL07933	1
HL07962	1
HL07966	1
HL07974	1
HL08006	1
HL08023	1
HL08030	1
HL08032	1
HL08040	1
HL08042	1
HL08049	1
HL08052	1
HL08053	1.7
HL08057	3.5
HL08079	1
HL08087	1
HL08104	1
HL08109	1
HL08128	1
HL08134	1.7
HL08141	1
HL08167	1
HL08191	1
LD01189	1
LD01190	0.4
LD01372	0.4
LD01461	0.4
LD01463	0.4
LD01470	0.4
LD01482	0.4
LD01519	0.833333333333333
LD01527	1
LD01582	1.5
LD01659	2
LD01705	2
LD01807	0.4
LD01876	1
LD01910	0.4
LD01947	1.5
LD01950	1
LD01951	0.4
LD01958	0.833333333333333
LD01981	1
LD01992	1
LD02044	1.5
LD02060	0.4
LD02061	1
LD02105	1.5
LD02192	0.4
LD02194	0.4
LD02287	1.5
LD02291	1.5
LD02307	0.4
LD02310	2
LD02311	1
LD02329	0.4
LD02334	2
LD02340	1.5
LD02349	1.5
LD02352	1
LD02379	1.5
LD02427	2
LD02432	1.5
LD02460	1.5
LD02462	0.4
LD02463	1.5
LD02491	0.4
LD02541	0.4
LD02552	0.4
LD02553	1.5
LD02611	0.4
LD02616	0.4
LD02639	1.5
LD02646	1.5
LD02709	0.4
LD02884	1
LD02906	2
LD02975	1.5
LD02979	0.4
LD02989	0.4
LD03002	2
LD03007	0.4
LD03052	0.4
LD03060	0.4
LD03167	0.4
LD03170	0.4
LD03179	0.4
LD03185	0.4
LD03212	0.4
LD03230	0.4
LD03241	2
LD03247	2
LD03248	1
LD03255	0.4
LD03274	0.4
LD03322	0.4
LD03368	0.4
LD03380	0.4
LD03394	2
LD03419	0.4
LD03441	2
LD03453	2
LD03455	1
LD03462	0.4
LD03464	2
LD03509	0.4
LD03515	0.4
LD03534	2
LD03548	0.4
LD03564	0.833333333333333
LD03569	2
LD03583	0.4
LD03592	0.4
LD03595	2
LD03613	2
LD03691	0.4
LD03714	0.4
LD03740	0.4
LD03769	1
LD03819	0.4
LD03827	0.4
LD03829	0.4
LD03886	0.4
LD03945	1
LD04004	0.833333333333333
LD04007	2
LD04013	2
LD04047	1
LD04071	0.4
LD04103	0.4
LD04107	0.4
LD04137	2
LD04190	0.4
LD04235	0.4
LD04267	0.4
LD04361	0.4
LD04380	0.4
LD04449	0.4
LD04457	0.4
LD04494	2
LD04507	2
LD04521	0.4
LD04530	0.4
LD04578	1
LD04582	2
LD04591	0.4
LD04613	0.4
LD04689	0.833333333333333
LD04710	1
LD04718	0.4
LD04722	0.4
LD04782	0.4
LD04789	1
LD04815	0.4
LD04844	2
LD04933	0.4
LD04944	0.4
LD04951	0.4
LD04957	0.4
LD04986	2
LD04994	0.4
LD05057	0.4
LD05080	2
LD05118	2
LD05120	2
LD05179	0.4
LD05244	0.4
LD05247	0.4
LD05259	0.4
LD05265	0.4
LD05267	2
LD05272	2
LD05287	1
LD05303	0.4
LD05321	0.4
LD05335	0.4
LD05344	2
LD05345	0.4
LD05347	0.4
LD05365	2
LD05405	1
LD05471	0.4
LD05472	0.4
LD05512	2
LD05521	1
LD05535	1
LD05560	1
LD05574	1
LD05576	1
LD05591	2
LD05592	1
LD05615	1
LD05623	1
LD05664	0.4
LD05671	1
LD05680	1
LD05688	2
LD05703	1
LD05707	1
LD05816	2
LD05823	2
LD05893	2
LD05920	1
LD05963	0.4
LD06016	1
LD06023	1
LD06034	1
LD06095	1
LD06106	1
LD06123	0.4
LD06131	1
LD06138	0.4
LD06146	1
LD06275	1
LD06278	1
LD06293	2
LD06317	2
LD06393	2
LD06403	1
LD06532	0.4
LD06557	2
LD06565	1
LD06593	1
LD06759	2
LD06894	0.4
LD06929	1
LD06965	1
LD07014	0.4
LD07058	0.4
LD07113	1
LD07143	0.4
LD07144	0.4
LD07162	0.4
LD07266	2
LD07278	1
LD07301	0.4
LD07362	0.4
LD07388	0.833333333333333
LD07392	2
LD07439	1
LD07444	1
LD07457	1
LD07466	1
LD07493	1
LD07495	1
LD07519	2
LD07551	1
LD07615	1
LD07624	1
LD07651	0.833333333333333
LD07673	2
LD07688	1
LD07701	1
LD07709	2
LD07728	2
LD07740	2
LD07765	1
LD07767	0.4
LD07775	2
LD07878	1
LD07883	2
LD07912	2
LD07917	1
LD07939	1
LD07988	1
LD07994	0.4
LD08152	1
LD08185	2
LD08195	1
LD08201	1
LD08230	1
LD08231	1
LD08233	1
LD08259	1
LD08295	0.4
LD08328	2
LD08331	1
LD08354	1
LD08427	0.833333333333333
LD08432	2
LD08471	1
LD08529	1
LD08555	0.4
LD08591	1
LD08608	0.4
LD08622	1
LD08641	2
LD08644	0.833333333333333
LD08659	2
LD08669	0.4
LD08703	0.4
LD08709	0.4
LD08717	2
LD08718	0.4
LD08814	0.4
LD08815	0.4
LD08826	0.833333333333333
LD08841	0.4
LD08906	0.4
LD08911	1
LD08951	1
LD08952	0.4
LD08974	0.4
LD09025	0.4
LD09043	0.4
LD09056	1
LD09078	1
LD09158	0.4
LD09231	0.4
LD09306	1
LD09343	0.4
LD09351	0.4
LD09414	1
LD09503	1
LD09511	1
LD09531	0.4
LD09536	0.833333333333333
LD09551	0.4
LD09558	0.4
LD09559	2
LD09561	0.4
LD09564	1
LD09584	0.4
LD09625	0.833333333333333
LD09626	1
LD09675	2
LD09689	1
LD09691	2
LD09721	1
LD09732	0.4
LD09733	0.833333333333333
LD09783	2
LD09786	2
LD09790	1
LD09801	0.833333333333333
LD09823	1
LD09836	1
LD09837	0.833333333333333
LD09848	1
LD09850	0.4
LD09868	0.4
LD09903	1
LD09907	0.4
LD09912	0.4
LD09921	1
LD09927	1
LD09936	1
LD09942	1
LD09945	0.833333333333333
LD09947	1
LD09950	1
LD09973	0.4
LD10005	0.4
LD10028	2
LD10051	1
LD10058	0.4
LD10092	0.4
LD10094	0.4
LD10117	0.4
LD10168	0.4
LD10183	1
LD10220	2
LD10242	0.4
LD10247	2
LD10274	2
LD10287	2
LD10305	0.4
LD10322	1
LD10325	1
LD10327	0.4
LD10349	1
LD10351	0.4
LD10379	1
LD10401	0.4
LD10408	0.833333333333333
LD10416	2
LD10431	0.4
LD10434	0.4
LD10447	0.833333333333333
LD10453	0.4
LD10456	1
LD10463	1
LD10479	0.4
LD10495	1
LD10516	0.4
LD10526	1
LD10532	0.4
LD10543	0.4
LD10565	0.4
LD10578	0.4
LD10588	0.4
LD10609	1
LD10629	1
LD10657	0.4
LD10659	0.4
LD10671	1
LD10678	1
LD10695	1
LD10702	1
LD10743	1
LD10746	2
LD10749	1
LD10754	1
LD10758	0.4
LD10773	0.4
LD10776	1
LD10780	2
LD10783	1
LD10857	1
LD10878	1
LD10883	1
LD10908	1
LD10920	1
LD10950	1
LD10989	0.4
LD11008	1
LD11027	0.4
LD11031	1
LD11036	1
LD11064	1
LD11083	2
LD11102	2
LD11109	1
LD11117	1
LD11130	2
LD11139	0.4
LD11162	0.4
LD11211	0.4
LD11215	1.5
LD11247	0.4
LD11251	1
LD11258	1
LD11291	2
LD11354	1
LD11371	1
LD11379	1.5
LD11394	1.5
LD11409	1
LD11447	1
LD11455	3
LD11462	1
LD11531	3
LD11580	3
LD11626	3
LD11641	1
LD11648	3
LD11664	3
LD11689	2
LD11736	2
LD11744	1
LD11783	1
LD11831	1
LD11847	1.5
LD11851	1
LD11854	0.833333333333333
LD11861	1
LD11871	3
LD11885	1.5
LD11946	3
LD11958	3
LD12022	1
LD12029	1
LD12033	2
LD12035	1
LD12037	1.5
LD12042	1
LD12075	3
LD12084	1.5
LD12115	1
LD12127	1
LD12131	0.833333333333333
LD12174	1
LD12230	3
LD12257	3
LD12265	1
LD12309	1
LD12333	3
LD12356	1
LD12377	1
LD12394	3
LD12396	1.5
LD12407	3
LD12420	3
LD12431	1
LD12439	1
LD12453	1
LD12501	1
LD12611	1.5
LD12613	1.5
LD12631	1
LD12639	3
LD12661	1
LD12677	1
LD12690	1.5
LD12750	0.833333333333333
LD12755	1
LD12764	3
LD12777	3
LD12812	1
LD12826	3
LD12912	1
LD12946	1.5
LD12948	1
LD12965	1
LD13018	1.5
LD13050	1
LD13052	1
LD13080	1
LD13176	1.5
LD13184	1.5
LD13191	2
LD13195	1
LD13210	1
LD13251	1.5
LD13253	1
LD13269	1
LD13350	1
LD13361	1.5
LD13366	1.5
LD13390	1
LD13416	2
LD13435	1
LD13436	1
LD13504	1
LD13525	1
LD13601	1.5
LD13607	1
LD13611	1
LD13640	1.5
LD13641	1.5
LD13642	2
LD13649	1.5
LD13706	2
LD13710	1
LD13761	1.5
LD13772	1
LD13807	2
LD13846	1
LD13864	2
LD13869	1
LD13887	1.5
LD13901	2
LD13909	1.5
LD13917	1
LD13945	1.5
LD13959	1
LD14015	1.5
LD14031	2
LD14049	2
LD14064	1
LD14068	1
LD14109	2
LD14119	1
LD14121	1.5
LD14125	1
LD14127	1
LD14173	0.833333333333333
LD14179	1
LD14268	2
LD14312	2
LD14353	1
LD14383	1.5
LD14406	1
LD14453	1
LD14485	1.5
LD14505	2
LD14510	1
LD14555	1
LD14594	2
LD14646	1.5
LD14687	1
LD14688	1
LD14717	1
LD14730	2
LD14731	2
LD14743	2
LD14783	1.5
LD14807	1
LD14839	1
LD14856	1
LD14884	1
LD14901	1
LD14913	1
LD14917	1
LD15002	1
LD15005	1
LD15062	2
LD15072	1
LD15094	1
LD15107	1
LD15137	1
LD15174	2
LD15196	1
LD15203	1
LD15209	1
LD15217	1
LD15224	1
LD15250	1
LD15253	1
LD15323	1
LD15342	1
LD15349	1
LD15350	2
LD15354	1
LD15362	1
LD15381	1
LD15403	1
LD15404	1
LD15405	1
LD15411	1
LD15458	1
LD15470	1
LD15472	1
LD15480	2
LD15481	1
LD15494	1
LD15505	1
LD15527	1
LD15555	2
LD15563	1
LD15586	1
LD15606	2
LD15632	1
LD15640	1
LD15641	1
LD15650	1
LD15658	1
LD15680	1
LD15705	1
LD15729	2
LD15753	1
LD15796	1
LD15803	0.833333333333333
LD15833	1
LD15845	1
LD15851	1
LD15893	2
LD15904	2
LD15933	1
LD15939	1
LD15941	1
LD15947	1.5
LD15974	1
LD15982	1
LD15989	1
LD16029	2
LD16038	1
LD16058	1
LD16074	1
LD16082	1
LD16109	1.5
LD16125	1.5
LD16137	1
LD16147	1
LD16161	2
LD16174	1
LD16191	1.5
LD16208	1
LD16247	2
LD16270	2
LD16285	0.833333333333333
LD16296	1
LD16320	1.5
LD16326	0.833333333333333
LD16331	1.5
LD16337	1
LD16340	1
LD16342	1
LD16356	1.5
LD16361	2
LD16402	0.833333333333333
LD16414	1
LD16419	1
LD16427	1
LD16456	2
LD16544	1.5
LD16566	2
LD16579	1
LD16635	1.5
LD16638	1
LD16673	1
LD16711	1
LD16736	2
LD16758	1
LD16783	1
LD16810	2
LD16826	1
LD16905	1
LD16921	1
LD16949	1
LD16982	1.5
LD17001	1
LD17006	1.5
LD17019	1
LD17053	1.5
LD17077	1.5
LD17129	1.5
LD17186	1
LD17208	1
LD17235	0.833333333333333
LD17269	1
LD17329	2
LD17340	1
LD17482	1
LD17501	1
LD17515	1
LD17530	1
LD17536	1.5
LD17578	1
LD17594	1
LD17611	1.5
LD17675	1.5
LD17730	2
LD17744	0.833333333333333
LD17773	1.5
LD17911	0.833333333333333
LD17927	1
LD17939	1
LD17962	1
LD17982	1.5
LD17992	1.5
LD18018	0.833333333333333
LD18032	1
LD18062	1
LD18077	1
LD18112	1.5
LD18126	1.5
LD18186	1.5
LD18231	1
LD18233	1
LD18251	1
LD18261	2
LD18280	1
LD18295	1
LD18356	1
LD18367	1
LD18373	1
LD18389	2
LD18434	1
LD18435	1.5
LD18443	2
LD18447	1
LD18468	2
LD18607	1
LD18613	1
LD18634	2
LD18667	1
LD18683	2
LD18692	2
LD18706	1
LD18710	1
LD18740	2
LD18757	2
LD18758	1
LD18769	2
LD18774	1
LD18775	2
LD18835	2
LD18882	1
LD18889	1
LD18893	2
LD18904	1
LD18949	1.5
LD18955	1
LD18960	1
LD18978	2
LD19034	2
LD19039	2
LD19052	1
LD19058	1.5
LD19061	1
LD19066	1
LD19086	2
LD19131	1
LD19135	1
LD19162	1
LD19190	1.5
LD19191	2
LD19219	1
LD19244	1
LD19266	1
LD19284	1
LD19311	2
LD19312	1
LD19356	2
LD19391	1
LD19406	1
LD19434	1
LD19437	1
LD19518	2
LD19544	1
LD19584	1
LD19609	1
LD19629	1
LD19634	1.5
LD19671	1
LD19710	1
LD19715	2
LD19767	1
LD19782	1.5
LD19808	1.5
LD19810	1
LD19812	2
LD19823	1
LD19982	1
LD19991	2
LD20082	1
LD20087	1
LD20186	1
LD20229	1.5
LD20239	1.5
LD20253	1.5
LD20271	2
LD20292	1
LD20358	1
LD20362	1
LD20383	1
LD20420	1
LD20423	1
LD20432	2
LD20439	2
LD20458	1
LD20463	1.5
LD20464	1
LD20519	2
LD20534	1
LD20554	1
LD20590	1
LD20608	1
LD20624	1
LD20635	1
LD20718	1
LD20767	1
LD20793	2
LD20870	1
LD20892	1.5
LD20901	1
LD20919	1.5
LD20933	1
LD20971	1
LD20987	1
LD21010	1
LD21041	1
LD21069	2
LD21089	1
LD21120	1
LD21129	1
LD21131	1
LD21134	1
LD21171	1
LD21177	1
LD21192	1
LD21194	1
LD21213	1
LD21248	1
LD21289	1
LD21293	1
LD21304	1
LD21322	1
LD21334	1
LD21334	1.7
LD21346	1
LD21358	3.5
LD21383	1
LD21403	1
LD21404	1
LD21405	1
LD21410	3.5
LD21416	1
LD21447	1
LD21452	1
LD21457	1
LD21503	1
LD21504	1
LD21529	1
LD21537	1
LD21545	1
LD21568	1
LD21570	1
LD21576	1
LD21589	1
LD21608	1
LD21610	1
LD21614	1
LD21615	1
LD21616	1
LD21622	1
LD21623	1
LD21637	1
LD21642	1
LD21643	1
LD21659	1
LD21662	1
LD21667	1
LD21669	1
LD21675	1
LD21677	1
LD21679	1
LD21681	1
LD21682	1
LD21711	1
LD21713	1
LD21715	1
LD21719	1
LD21720	1
LD21722	1
LD21723	1
LD21729	1
LD21735	1
LD21753	1
LD21756	1
LD21771	1
LD21772	1.7
LD21794	1
LD21815	1
LD21828	1
LD21829	1
LD21844	1
LD21875	1
LD21880	1
LD21888	1
LD21896	1
LD21907	1
LD21924	1
LD21931	1
LD21941	1
LD21957	1
LD21969	1
LD22004	1
LD22010	1
LD22017	1.7
LD22033	1
LD22081	1
LD22087	1
LD22095	1
LD22117	1
LD22119	1
LD22131	1
LD22157	1
LD22180	1
LD22183	1
LD22190	1
LD22218	1
LD22235	1
LD22238	1
LD22255	1
LD22256	1
LD22279	1
LD22310	1
LD22317	1
LD22320	1
LD22322	1
LD22337	1
LD22339	3.5
LD22344	1
LD22351	1
LD22358	1
LD22374	1
LD22376	1
LD22396	1
LD22412	1
LD22423	1
LD22449	1
LD22456	1
LD22509	1
LD22513	1
LD22548	1
LD22559	1
LD22582	1
LD22609	1
LD22634	1
LD22649	1
LD22651	1
LD22655	1
LD22661	1
LD22662	1
LD22664	1
LD22666	1
LD22679	1
LD22682	1
LD22691	1
LD22706	1
LD22716	1
LD22726	1
LD22771	1
LD22804	1
LD22812	1
LD22858	1
LD22862	1
